check,status,detail,source,observed_at
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/paper-articles,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/downloads,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/progress,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/faq,
phone,pass,Published phone: 0093921832 ,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: 0117354550,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: 011 20 60 800 ,https://cleansrilanka.gov.lk/donate,
phone,pass,Published phone: +94112060800,https://cleansrilanka.gov.lk/donate,
postal_address,pass,Published postal address: * Address * Phone Number * Phone Payment Method Choose your preferred payment option BANK OF CEYLON Secure banking with ,https://cleansrilanka.gov.lk/donate,
fees_and_payment,pass,Published fees and payment: LKR 0,https://cleansrilanka.gov.lk/donate,
published_update_date,pass,Published published update date: 2025-12-29,https://cleansrilanka.gov.lk/donate,
email_in_site_domain,error,No published email address to compare,,
email_domain_has_mx,error,No published email address to check,,
